RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
193,Helen of Troy,El Paso,TX,Retail & Consumer Goods,31,79.76,84.34,68.32,86.7
194,Verizon Communications,New York City,NY,Media & Telecommunications,9,79.72,78.6,81.81,78.83
195,Carter's,Atlanta,GA,Retail & Consumer Goods,32,79.72,85.93,72.71,80.59
196,California Resources,Long Beach,CA,Energy & Utilities,11,79.69,73.04,78.08,88.02
197,The Home Depot,Atlanta,GA,Retail & Consumer Goods,33,79.6,81.49,78.1,79.28
198,Berry Global,Evansville,IN,Materials & Chemicals,16,79.53,88.79,72.99,76.89
199,Sonoco Products,Hartsville,SC,Materials & Chemicals,17,79.53,79.89,74.38,84.39
200,Principal Financial Group,Des Moines,IA,Financial,22,79.52,72.22,89.27,77.16
201,Upwork,Santa Clara,CA,Professional Services,8,79.48,73.98,86.44,78.08
202,Amphenol,Wallingford,CT,Technology,35,79.45,88.16,67.82,82.44
203,Amgen,Thousand Oaks,CA,"Health Care, Life Sciences & Pharmaceuticals",15,79.43,90.25,73.55,74.59
204,Huntington Bancshares,Columbus,OH,Financial,23,79.42,78.32,85.25,74.78
205,Robert Half International,Menlo Park,CA,Professional Services,9,79.41,86.75,67.92,83.66
206,Caleres,St. Louis,MO,Retail & Consumer Goods,34,79.37,75.12,87.78,75.28
207,Superior Industries,Southfield,MI,Automotive & Components,5,79.35,95.49,55.29,87.37
208,EnerSys,Reading,PA,Energy & Utilities,12,79.32,78.73,68.73,90.59
209,Weatherford,Houston,TX,Energy & Utilities,13,79.32,85.31,75.96,76.77
210,Silicon Labs,Austin,TX,Technology,36,79.31,89.49,69.87,78.67
211,Halliburton,Houston,TX,Energy & Utilities,14,79.31,75.5,79.49,83.0
212,Macy's,New York City,NY,Retail & Consumer Goods,35,79.29,84.1,81.01,72.83
213,Carrier,Palm Beach Gardens,FL,Capital Goods,20,79.08,90.68,73.65,73.01
214,J.B. Hunt,Lowell,AZ,Transport & Logistics,2,79.05,89.01,61.74,86.5
215,Harley-Davidson,Milwaukee,WI,Automotive & Components,6,78.99,71.87,76.7,88.47
216,MPLX,Findlay,OH,Energy & Utilities,15,78.97,68.79,81.84,86.34
217,Post,St. Louis,MO,Retail & Consumer Goods,36,78.93,90.4,65.83,80.65
218,DICK'S Sporting Goods,Coraopolis,PA,Retail & Consumer Goods,37,78.92,74.25,83.01,79.58
219,Jones Lang LaSalle,Chicago,IL,Real Estate & Housing,17,78.9,90.02,63.57,83.21
220,Insulet,Acton,MA,"Health Care, Life Sciences & Pharmaceuticals",16,78.9,85.46,73.57,77.76
221,ICF,Fairfax,VA,Professional Services,10,78.87,76.11,79.04,81.54
222,Illinois Tool Works,Glenview,IL,Capital Goods,21,78.82,92.62,74.43,69.49
223,Kroger,Cincinnati,OH,Retail & Consumer Goods,38,78.81,88.99,70.77,76.76
224,Western Digital,San Jose,CA,Technology,37,78.8,90.34,78.13,68.01
225,Voya Financial,New York City,NY,Financial,24,78.79,83.39,71.9,81.17
226,Kadant,Westford,MA,Capital Goods,22,78.77,92.26,53.54,90.62
227,Manitowoc,Milwaukee,WI,Capital Goods,23,78.76,84.92,64.55,86.9
228,Omnicom Group,New York City,NY,Professional Services,11,78.71,71.98,82.89,81.31
229,Ormat Technologies,Reno,NV,Energy & Utilities,16,78.7,77.18,76.12,82.89
230,Carlisle Companies,Scottsdale,AZ,Materials & Chemicals,18,78.67,84.99,66.56,84.55
231,Belden,St. Louis,MO,Capital Goods,24,78.66,77.19,74.16,84.7
232,PNC Financial Services,Pittsburgh,PA,Financial,25,78.66,73.19,86.51,76.34
233,Pitney Bowes,Stamford,CT,Technology,38,78.61,84.36,76.9,74.65
234,Crown Holdings,Philadelphia,PA,Materials & Chemicals,19,78.59,82.32,62.8,90.74
235,United Natural Foods,Providence,RI,Retail & Consumer Goods,39,78.52,79.62,71.1,84.92
236,Kosmos Energy,Dallas,TX,Energy & Utilities,17,78.49,80.75,72.33,82.47
237,Waters,Milford,MA,"Health Care, Life Sciences & Pharmaceuticals",17,78.38,82.7,72.26,80.27
